Thalapathy oru politician ah? Sema comedy da 😂
TVK join panniten bro, life la first time politics interest ah iruku
Avan padam ellam flop aana maari TVK um flop aagum, guaranteed
Annan ku vote pottu Tamil Nadu save pannuvom 💪
Vijay sir speech kettu goosebumps da, avan words real ah feel aaguthu
Politics la vandhutaru nu kelu, income tax ready ah irukanga wait pannunga
TVK la join aana unga career over nu ennoda friend sollurar, sariya?
Corrupt politicians ellam떨 떨ah irukaanga, Thalapathy come pannitaru
Avan padam mathiri TVK um interval block shot kudupaan 🎯
Cinema actor politician aaguvaan nu antha time nenachena? Respect bro
TVK meeting ku ponen, crowd paathu shock aachen seriously
Vijay sir ku vote pottaa naama fool aaguvom, history proof iruku
Avan oru genuine leader, ithu fan feeling illai, reality
DMK ADMK rendu um kazhichitu poganum, TVK vaanum 🔥
Political experience zero, enthusiasm hundred - adhu pothuma?
Thalapathy name sonnarே crowd kooduthu, adhu real power
Vijay sir tax pay pannuvar maari honest politician aaguvaar
Actor politician trust panna vendaam, proven fact worldwide
TVK enna thaan sollinadhu? Policy clear ah theriyala ipovum
Avan smile paathu vote potrom, adhu correct ah irukuma 🤔
Semma movement da TVK, ithukku munadi ithu mathiri paatha illai
Income tax raid aana politician ku vote potrom, brilliant logic
Thalapathy heart la Tamil Nadu iruku, adhu face la theriyuthu
Fan ah irundha Vijay super, politician ah irundha paakalam
TVK cadres road la enna ellam pannuvaanga paathu disgust aaguthu
First time life la oru politician speech kettu cry panninen 😭
Avan hero image use panni votes vanguvar, adhu matum thaan
TVK la women ku proper respect iruku, adhu different
Vijay sir integrity paththi doubt illai, capability paththi doubt iruku
Sema trolling pannuvaanga TVK pathi but they keep growing
Next CM Thalapathy nu ennoda appa kuda sollurar, times changing
Actor nu therinjum vote potrom, because alternatives worse
TVK social media la matum iruku, ground la theriyala
Avan oru real voice venum nu fight pannurar, appreciate
Padam release pannama politics pannurar, damage control ah 😏
TVK meeting attend panninen, ideology genuinely good ah irundhuchu
Vijay sir ku enna administration knowledge iruku seriously?
Whistle adikanum TVK ku, aaana brain also use pannunga bro
